;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 22/10/2025 16:05:57
;----------------------------------------------

;Address Opcode 	ASM
0x00F0	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,1248 :: 		
0x00F2	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,1249 :: 		
0x00F4	0x260B      	ADDWF       R11, 1, 0
;__Lib_Math.c,1250 :: 		
0x00F6	0x6AE8      	CLRF        WREG, 0
;__Lib_Math.c,1251 :: 		
0x00F8	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,1252 :: 		
0x00FA	0x0E01      	MOVLW       1
;__Lib_Math.c,1253 :: 		
0x00FC	0x260E      	ADDWF       R14, 1, 0
;__Lib_Math.c,1255 :: 		
UOK22LA:
;__Lib_Math.c,1256 :: 		
0x00FE	0x3603      	RLCF        R3, 1, 0
;__Lib_Math.c,1258 :: 		
0x0100	0x2E0C      	DECFSZ      R12, 1, 0
;__Lib_Math.c,1259 :: 		
0x0102	0xD7D1      	BRA         LOOPU3232A
;__Lib_Math.c,1261 :: 		
0x0104	0x3402      	RLCF        R2, 0, 0
;__Lib_Math.c,1262 :: 		
0x0106	0x3608      	RLCF        R8, 1, 0
;__Lib_Math.c,1263 :: 		
0x0108	0x3609      	RLCF        R9, 1, 0
;__Lib_Math.c,1264 :: 		
0x010A	0x360A      	RLCF        R10, 1, 0
;__Lib_Math.c,1265 :: 		
0x010C	0x360B      	RLCF        R11, 1, 0
;__Lib_Math.c,1266 :: 		
0x010E	0x360E      	RLCF        R14, 1, 0
;__Lib_Math.c,1267 :: 		
0x0110	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,1268 :: 		
0x0112	0xA003      	BTFSS       R3, 0, 0
;__Lib_Math.c,1269 :: 		
0x0114	0xD012      	BRA         UADD22L8
;__Lib_Math.c,1271 :: 		
0x0116	0x5E08      	SUBWF       R8, 1, 0
;__Lib_Math.c,1272 :: 		
0x0118	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,1273 :: 		
0x011A	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,1274 :: 		
0x011C	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,1275 :: 		
0x011E	0x5E09      	SUBWF       R9, 1, 0
;__Lib_Math.c,1276 :: 		
0x0120	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,1277 :: 		
0x0122	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,1278 :: 		
0x0124	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,1279 :: 		
0x0126	0x5E0A      	SUBWF       R10, 1, 0
;__Lib_Math.c,1280 :: 		
0x0128	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,1281 :: 		
0x012A	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,1282 :: 		
0x012C	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,1283 :: 		
0x012E	0x5E0B      	SUBWF       R11, 1, 0
;__Lib_Math.c,1284 :: 		
0x0130	0x6AE8      	CLRF        WREG, 0
;__Lib_Math.c,1285 :: 		
0x0132	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,1286 :: 		
0x0134	0x0E01      	MOVLW       1
;__Lib_Math.c,1287 :: 		
0x0136	0x5E0E      	SUBWF       R14, 1, 0
;__Lib_Math.c,1288 :: 		
0x0138	0xD011      	BRA         UOK22L8
;__Lib_Math.c,1290 :: 		
UADD22L8:
;__Lib_Math.c,1291 :: 		
0x013A	0x2608      	ADDWF       R8, 1, 0
;__Lib_Math.c,1292 :: 		
0x013C	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,1293 :: 		
0x013E	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,1294 :: 		
0x0140	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,1295 :: 		
0x0142	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,1296 :: 		
0x0144	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,1297 :: 		
0x0146	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,1298 :: 		
0x0148	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,1299 :: 		
0x014A	0x260A      	ADDWF       R10, 1, 0
;__Lib_Math.c,1300 :: 		
0x014C	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,1301 :: 		
0x014E	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,1302 :: 		
0x0150	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,1303 :: 		
0x0152	0x260B      	ADDWF       R11, 1, 0
;__Lib_Math.c,1304 :: 		
0x0154	0x6AE8      	CLRF        WREG, 0
;__Lib_Math.c,1305 :: 		
0x0156	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,1306 :: 		
0x0158	0x0E01      	MOVLW       1
;__Lib_Math.c,1307 :: 		
0x015A	0x260E      	ADDWF       R14, 1, 0
;__Lib_Math.c,1309 :: 		
UOK22L8:
;__Lib_Math.c,1310 :: 		
0x015C	0x3602      	RLCF        R2, 1, 0
;__Lib_Math.c,1312 :: 		
0x015E	0x0E07      	MOVLW       7
;__Lib_Math.c,1313 :: 		
0x0160	0x6E0C      	MOVWF       R12, 0
;__Lib_Math.c,1315 :: 		
LOOPU3232B:
;__Lib_Math.c,1316 :: 		
0x0162	0x3402      	RLCF        R2, 0, 0
;__Lib_Math.c,1317 :: 		
0x0164	0x3608      	RLCF        R8, 1, 0
;__Lib_Math.c,1318 :: 		
0x0166	0x3609      	RLCF        R9, 1, 0
;__Lib_Math.c,1319 :: 		
0x0168	0x360A      	RLCF        R10, 1, 0
;__Lib_Math.c,1320 :: 		
0x016A	0x360B      	RLCF        R11, 1, 0
;__Lib_Math.c,1321 :: 		
0x016C	0x360E      	RLCF        R14, 1, 0
;__Lib_Math.c,1322 :: 		
0x016E	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,1323 :: 		
0x0170	0xA002      	BTFSS       R2, 0, 0
;__Lib_Math.c,1324 :: 		
0x0172	0xD012      	BRA         UADD22LB
;__Lib_Math.c,1326 :: 		
0x0174	0x5E08      	SUBWF       R8, 1, 0
;__Lib_Math.c,1327 :: 		
0x0176	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,1328 :: 		
0x0178	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,1329 :: 		
0x017A	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,1330 :: 		
0x017C	0x5E09      	SUBWF       R9, 1, 0
;__Lib_Math.c,1331 :: 		
0x017E	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,1332 :: 		
0x0180	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,1333 :: 		
0x0182	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,1334 :: 		
0x0184	0x5E0A      	SUBWF       R10, 1, 0
;__Lib_Math.c,1335 :: 		
0x0186	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,1336 :: 		
0x0188	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,1337 :: 		
0x018A	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,1338 :: 		
0x018C	0x5E0B      	SUBWF       R11, 1, 0
;__Lib_Math.c,1339 :: 		
0x018E	0x6AE8      	CLRF        WREG, 0
;__Lib_Math.c,1340 :: 		
0x0190	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,1341 :: 		
0x0192	0x0E01      	MOVLW       1
;__Lib_Math.c,1342 :: 		
0x0194	0x5E0E      	SUBWF       R14, 1, 0
;__Lib_Math.c,1343 :: 		
0x0196	0xD011      	BRA         UOK22LB
;__Lib_Math.c,1345 :: 		
UADD22LB:
;__Lib_Math.c,1346 :: 		
0x0198	0x2608      	ADDWF       R8, 1, 0
;__Lib_Math.c,1347 :: 		
0x019A	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,1348 :: 		
0x019C	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,1349 :: 		
0x019E	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,1350 :: 		
0x01A0	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,1351 :: 		
0x01A2	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,1352 :: 		
0x01A4	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,1353 :: 		
0x01A6	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,1354 :: 		
0x01A8	0x260A      	ADDWF       R10, 1, 0
;__Lib_Math.c,1355 :: 		
0x01AA	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,1356 :: 		
0x01AC	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,1357 :: 		
0x01AE	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,1358 :: 		
0x01B0	0x260B      	ADDWF       R11, 1, 0
;__Lib_Math.c,1359 :: 		
0x01B2	0x6AE8      	CLRF        WREG, 0
;__Lib_Math.c,1360 :: 		
0x01B4	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,1361 :: 		
0x01B6	0x0E01      	MOVLW       1
;__Lib_Math.c,1362 :: 		
0x01B8	0x260E      	ADDWF       R14, 1, 0
;__Lib_Math.c,1364 :: 		
UOK22LB:
;__Lib_Math.c,1365 :: 		
0x01BA	0x3602      	RLCF        R2, 1, 0
;__Lib_Math.c,1367 :: 		
0x01BC	0x2E0C      	DECFSZ      R12, 1, 0
;__Lib_Math.c,1368 :: 		
0x01BE	0xD7D1      	BRA         LOOPU3232B
;__Lib_Math.c,1370 :: 		
0x01C0	0x3401      	RLCF        R1, 0, 0
;__Lib_Math.c,1371 :: 		
0x01C2	0x3608      	RLCF        R8, 1, 0
;__Lib_Math.c,1372 :: 		
0x01C4	0x3609      	RLCF        R9, 1, 0
;__Lib_Math.c,1373 :: 		
0x01C6	0x360A      	RLCF        R10, 1, 0
;__Lib_Math.c,1374 :: 		
0x01C8	0x360B      	RLCF        R11, 1, 0
;__Lib_Math.c,1375 :: 		
0x01CA	0x360E      	RLCF        R14, 1, 0
;__Lib_Math.c,1376 :: 		
0x01CC	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,1377 :: 		
0x01CE	0xA002      	BTFSS       R2, 0, 0
;__Lib_Math.c,1378 :: 		
0x01D0	0xD012      	BRA         UADD22L16
;__Lib_Math.c,1380 :: 		
0x01D2	0x5E08      	SUBWF       R8, 1, 0
;__Lib_Math.c,1381 :: 		
0x01D4	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,1382 :: 		
0x01D6	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,1383 :: 		
0x01D8	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,1384 :: 		
0x01DA	0x5E09      	SUBWF       R9, 1, 0
;__Lib_Math.c,1385 :: 		
0x01DC	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,1386 :: 		
0x01DE	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,1387 :: 		
0x01E0	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,1388 :: 		
0x01E2	0x5E0A      	SUBWF       R10, 1, 0
;__Lib_Math.c,1389 :: 		
0x01E4	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,1390 :: 		
0x01E6	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,1391 :: 		
0x01E8	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,1392 :: 		
0x01EA	0x5E0B      	SUBWF       R11, 1, 0
;__Lib_Math.c,1393 :: 		
0x01EC	0x6AE8      	CLRF        WREG, 0
;__Lib_Math.c,1394 :: 		
0x01EE	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,1395 :: 		
0x01F0	0x0E01      	MOVLW       1
;__Lib_Math.c,1396 :: 		
0x01F2	0x5E0E      	SUBWF       R14, 1, 0
;__Lib_Math.c,1397 :: 		
0x01F4	0xD011      	BRA         UOK22L16
;__Lib_Math.c,1399 :: 		
UADD22L16:
;__Lib_Math.c,1400 :: 		
0x01F6	0x2608      	ADDWF       R8, 1, 0
;__Lib_Math.c,1401 :: 		
0x01F8	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,1402 :: 		
0x01FA	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,1403 :: 		
0x01FC	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,1404 :: 		
0x01FE	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,1405 :: 		
0x0200	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,1406 :: 		
0x0202	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,1407 :: 		
0x0204	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,1408 :: 		
0x0206	0x260A      	ADDWF       R10, 1, 0
;__Lib_Math.c,1409 :: 		
0x0208	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,1410 :: 		
0x020A	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,1411 :: 		
0x020C	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,1412 :: 		
0x020E	0x260B      	ADDWF       R11, 1, 0
;__Lib_Math.c,1413 :: 		
0x0210	0x6AE8      	CLRF        WREG, 0
;__Lib_Math.c,1414 :: 		
0x0212	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,1415 :: 		
0x0214	0x0E01      	MOVLW       1
;__Lib_Math.c,1416 :: 		
0x0216	0x260E      	ADDWF       R14, 1, 0
;__Lib_Math.c,1418 :: 		
UOK22L16:
;__Lib_Math.c,1419 :: 		
0x0218	0x3601      	RLCF        R1, 1, 0
;__Lib_Math.c,1421 :: 		
0x021A	0x0E07      	MOVLW       7
;__Lib_Math.c,1422 :: 		
0x021C	0x6E0C      	MOVWF       R12, 0
;__Lib_Math.c,1424 :: 		
LOOPU3232C:
;__Lib_Math.c,1425 :: 		
0x021E	0x3401      	RLCF        R1, 0, 0
;__Lib_Math.c,1426 :: 		
0x0220	0x3608      	RLCF        R8, 1, 0
;__Lib_Math.c,1427 :: 		
0x0222	0x3609      	RLCF        R9, 1, 0
;__Lib_Math.c,1428 :: 		
0x0224	0x360A      	RLCF        R10, 1, 0
;__Lib_Math.c,1429 :: 		
0x0226	0x360B      	RLCF        R11, 1, 0
;__Lib_Math.c,1430 :: 		
0x0228	0x360E      	RLCF        R14, 1, 0
;__Lib_Math.c,1431 :: 		
0x022A	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,1432 :: 		
0x022C	0xA001      	BTFSS       R1, 0, 0
;__Lib_Math.c,1433 :: 		
0x022E	0xD012      	BRA         UADD22LC
;__Lib_Math.c,1435 :: 		
0x0230	0x5E08      	SUBWF       R8, 1, 0
;__Lib_Math.c,1436 :: 		
0x0232	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,1437 :: 		
0x0234	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,1438 :: 		
0x0236	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,1439 :: 		
0x0238	0x5E09      	SUBWF       R9, 1, 0
;__Lib_Math.c,1440 :: 		
0x023A	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,1441 :: 		
0x023C	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,1442 :: 		
0x023E	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,1443 :: 		
0x0240	0x5E0A      	SUBWF       R10, 1, 0
;__Lib_Math.c,1444 :: 		
0x0242	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,1445 :: 		
0x0244	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,1446 :: 		
0x0246	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,1447 :: 		
0x0248	0x5E0B      	SUBWF       R11, 1, 0
;__Lib_Math.c,1448 :: 		
0x024A	0x6AE8      	CLRF        WREG, 0
;__Lib_Math.c,1449 :: 		
0x024C	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,1450 :: 		
0x024E	0x0E01      	MOVLW       1
;__Lib_Math.c,1451 :: 		
0x0250	0x5E0E      	SUBWF       R14, 1, 0
;__Lib_Math.c,1452 :: 		
0x0252	0xD011      	BRA         UOK22LC
;__Lib_Math.c,1454 :: 		
UADD22LC:
;__Lib_Math.c,1455 :: 		
0x0254	0x2608      	ADDWF       R8, 1, 0
;__Lib_Math.c,1456 :: 		
0x0256	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,1457 :: 		
0x0258	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,1458 :: 		
0x025A	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,1459 :: 		
0x025C	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,1460 :: 		
